Function,Derivative
\sin{\left(7 x^{3} \right)} \cos{\left(2 x \right)},21 x^{2} \cos{\left(2 x \right)} \cos{\left(7 x^{3} \right)} - 2 \sin{\left(2 x \right)} \sin{\left(7 x^{3} \right)}
\frac{4 x e^{- 10 x^{2}} \log{\left(7 x \right)}}{3},- \frac{80 x^{2} e^{- 10 x^{2}} \log{\left(7 x \right)}}{3} + \frac{4 e^{- 10 x^{2}} \log{\left(7 x \right)}}{3} + \frac{4 e^{- 10 x^{2}}}{3}
- \frac{3 x}{8 \cos{\left(7 x^{2} \right)}},- \frac{21 x^{2} \sin{\left(7 x^{2} \right)}}{4 \cos^{2}{\left(7 x^{2} \right)}} - \frac{3}{8 \cos{\left(7 x^{2} \right)}}
6 x^{2} e^{4 x^{3}},72 x^{4} e^{4 x^{3}} + 12 x e^{4 x^{3}}
- 21 x^{4} \sin{\left(4 x^{3} \right)},- 252 x^{6} \cos{\left(4 x^{3} \right)} - 84 x^{3} \sin{\left(4 x^{3} \right)}
25 x^{4} \sin{\left(x \right)},25 x^{4} \cos{\left(x \right)} + 100 x^{3} \sin{\left(x \right)}
- 9 x^{2} e^{- 9 x^{2}} \cos{\left(8 x^{2} \right)},144 x^{3} e^{- 9 x^{2}} \sin{\left(8 x^{2} \right)} + 162 x^{3} e^{- 9 x^{2}} \cos{\left(8 x^{2} \right)} - 18 x e^{- 9 x^{2}} \cos{\left(8 x^{2} \right)}
- \frac{5 x^{3}}{3},- 5 x^{2}
- 7 x^{2} \log{\left(4 x^{2} \right)},- 14 x \log{\left(4 x^{2} \right)} - 14 x
\frac{e^{4 x^{2}}}{\log{\left(2 x^{3} \right)}},\frac{8 x e^{4 x^{2}}}{\log{\left(2 x^{3} \right)}} - \frac{3 e^{4 x^{2}}}{x \log{\left(2 x^{3} \right)}^{2}}
\frac{9 \sin{\left(3 x^{3} \right)}}{2 \log{\left(- x^{2} \right)}},\frac{81 x^{2} \cos{\left(3 x^{3} \right)}}{2 \log{\left(- x^{2} \right)}} - \frac{9 \sin{\left(3 x^{3} \right)}}{x \log{\left(- x^{2} \right)}^{2}}
10 x e^{2 x^{2}} e^{- 5 x^{3}},- 150 x^{3} e^{2 x^{2}} e^{- 5 x^{3}} + 40 x^{2} e^{2 x^{2}} e^{- 5 x^{3}} + 10 e^{2 x^{2}} e^{- 5 x^{3}}
9 x^{3} \sin{\left(8 x \right)},72 x^{3} \cos{\left(8 x \right)} + 27 x^{2} \sin{\left(8 x \right)}
- \frac{\log{\left(7 x \right)}}{48 x^{4} \sin{\left(x^{3} \right)}},\frac{\log{\left(7 x \right)} \cos{\left(x^{3} \right)}}{16 x^{2} \sin^{2}{\left(x^{3} \right)}} + \frac{\log{\left(7 x \right)}}{12 x^{5} \sin{\left(x^{3} \right)}} - \frac{1}{48 x^{5} \sin{\left(x^{3} \right)}}
- \frac{e^{- 3 x^{2}}}{6 x^{2} \sin{\left(10 x \right)}},\frac{e^{- 3 x^{2}}}{x \sin{\left(10 x \right)}} + \frac{5 e^{- 3 x^{2}} \cos{\left(10 x \right)}}{3 x^{2} \sin^{2}{\left(10 x \right)}} + \frac{e^{- 3 x^{2}}}{3 x^{3} \sin{\left(10 x \right)}}
- e^{10 x^{2}} \log{\left(- 2 x^{3} \right)} \sin{\left(10 x \right)},- 20 x e^{10 x^{2}} \log{\left(- 2 x^{3} \right)} \sin{\left(10 x \right)} - 10 e^{10 x^{2}} \log{\left(- 2 x^{3} \right)} \cos{\left(10 x \right)} - \frac{3 e^{10 x^{2}} \sin{\left(10 x \right)}}{x}
- \frac{6 x^{3}}{\sin{\left(10 x \right)}},\frac{60 x^{3} \cos{\left(10 x \right)}}{\sin^{2}{\left(10 x \right)}} - \frac{18 x^{2}}{\sin{\left(10 x \right)}}
9 x^{2} e^{- 3 x^{3}},- 81 x^{4} e^{- 3 x^{3}} + 18 x e^{- 3 x^{3}}
- 80 x^{6},- 480 x^{5}
- \frac{7 \log{\left(- x^{3} \right)}}{10},- \frac{21}{10 x}
- 3 x^{2} e^{- 5 x^{3}} \log{\left(- 3 x^{3} \right)},45 x^{4} e^{- 5 x^{3}} \log{\left(- 3 x^{3} \right)} - 6 x e^{- 5 x^{3}} \log{\left(- 3 x^{3} \right)} - 9 x e^{- 5 x^{3}}
- \frac{6 x^{2} \cos{\left(8 x \right)}}{\sin{\left(5 x^{3} \right)} \sin{\left(6 x^{3} \right)}},\frac{108 x^{4} \cos{\left(8 x \right)} \cos{\left(6 x^{3} \right)}}{\sin{\left(5 x^{3} \right)} \sin^{2}{\left(6 x^{3} \right)}} + \frac{90 x^{4} \cos{\left(8 x \right)} \cos{\left(5 x^{3} \right)}}{\sin^{2}{\left(5 x^{3} \right)} \sin{\left(6 x^{3} \right)}} + \frac{48 x^{2} \sin{\left(8 x \right)}}{\sin{\left(5 x^{3} \right)} \sin{\left(6 x^{3} \right)}} - \frac{12 x \cos{\left(8 x \right)}}{\sin{\left(5 x^{3} \right)} \sin{\left(6 x^{3} \right)}}
\frac{\log{\left(- 10 x^{2} \right)}}{8 x^{3}},- \frac{3 \log{\left(- 10 x^{2} \right)}}{8 x^{4}} + \frac{1}{4 x^{4}}
\frac{3 x^{2}}{\log{\left(3 x^{3} \right)} \sin{\left(6 x \right)} \sin{\left(5 x^{3} \right)}},- \frac{45 x^{4} \cos{\left(5 x^{3} \right)}}{\log{\left(3 x^{3} \right)} \sin{\left(6 x \right)} \sin^{2}{\left(5 x^{3} \right)}} - \frac{18 x^{2} \cos{\left(6 x \right)}}{\log{\left(3 x^{3} \right)} \sin^{2}{\left(6 x \right)} \sin{\left(5 x^{3} \right)}} + \frac{6 x}{\log{\left(3 x^{3} \right)} \sin{\left(6 x \right)} \sin{\left(5 x^{3} \right)}} - \frac{9 x}{\log{\left(3 x^{3} \right)}^{2} \sin{\left(6 x \right)} \sin{\left(5 x^{3} \right)}}
45 x^{5},225 x^{4}
- \frac{7}{6 x^{3} \log{\left(- 10 x^{2} \right)}},\frac{7}{2 x^{4} \log{\left(- 10 x^{2} \right)}} + \frac{7}{3 x^{4} \log{\left(- 10 x^{2} \right)}^{2}}
4 x e^{5 x^{2}},40 x^{2} e^{5 x^{2}} + 4 e^{5 x^{2}}
- \sin{\left(6 x^{2} \right)} \cos{\left(x^{3} \right)},3 x^{2} \sin{\left(6 x^{2} \right)} \sin{\left(x^{3} \right)} - 12 x \cos{\left(6 x^{2} \right)} \cos{\left(x^{3} \right)}
\frac{e^{- 10 x} e^{x^{3}} \sin{\left(4 x^{2} \right)}}{\sin{\left(9 x^{2} \right)}},\frac{3 x^{2} e^{- 10 x} e^{x^{3}} \sin{\left(4 x^{2} \right)}}{\sin{\left(9 x^{2} \right)}} - \frac{18 x e^{- 10 x} e^{x^{3}} \sin{\left(4 x^{2} \right)} \cos{\left(9 x^{2} \right)}}{\sin^{2}{\left(9 x^{2} \right)}} + \frac{8 x e^{- 10 x} e^{x^{3}} \cos{\left(4 x^{2} \right)}}{\sin{\left(9 x^{2} \right)}} - \frac{10 e^{- 10 x} e^{x^{3}} \sin{\left(4 x^{2} \right)}}{\sin{\left(9 x^{2} \right)}}
\frac{9 x^{2} \sin{\left(7 x^{3} \right)}}{\cos{\left(8 x \right)}},\frac{189 x^{4} \cos{\left(7 x^{3} \right)}}{\cos{\left(8 x \right)}} + \frac{72 x^{2} \sin{\left(8 x \right)} \sin{\left(7 x^{3} \right)}}{\cos^{2}{\left(8 x \right)}} + \frac{18 x \sin{\left(7 x^{3} \right)}}{\cos{\left(8 x \right)}}
0,0
- 6 x \cos{\left(3 x \right)},18 x \sin{\left(3 x \right)} - 6 \cos{\left(3 x \right)}
\frac{\log{\left(- 8 x \right)}}{3 x^{3}},- \frac{\log{\left(- 8 x \right)}}{x^{4}} + \frac{1}{3 x^{4}}
- \frac{1}{x \cos{\left(6 x^{2} \right)}},- \frac{12 \sin{\left(6 x^{2} \right)}}{\cos^{2}{\left(6 x^{2} \right)}} + \frac{1}{x^{2} \cos{\left(6 x^{2} \right)}}
- 28 x^{3} \sin{\left(10 x^{2} \right)},- 560 x^{4} \cos{\left(10 x^{2} \right)} - 84 x^{2} \sin{\left(10 x^{2} \right)}
\frac{\cos{\left(x \right)}}{8 x^{2} \sin{\left(4 x^{2} \right)}},- \frac{\cos{\left(x \right)} \cos{\left(4 x^{2} \right)}}{x \sin^{2}{\left(4 x^{2} \right)}} - \frac{\sin{\left(x \right)}}{8 x^{2} \sin{\left(4 x^{2} \right)}} - \frac{\cos{\left(x \right)}}{4 x^{3} \sin{\left(4 x^{2} \right)}}
- \frac{1}{15 x^{4}},\frac{4}{15 x^{5}}
45 x^{4} \log{\left(10 x \right)},180 x^{3} \log{\left(10 x \right)} + 45 x^{3}
\frac{\cos{\left(10 x^{3} \right)}}{42 x^{2}},- \frac{5 \sin{\left(10 x^{3} \right)}}{7} - \frac{\cos{\left(10 x^{3} \right)}}{21 x^{3}}
0,0
- \frac{e^{4 x^{3}} \log{\left(x^{3} \right)} \sin{\left(3 x^{3} \right)}}{8 x},- \frac{3 x e^{4 x^{3}} \log{\left(x^{3} \right)} \sin{\left(3 x^{3} \right)}}{2} - \frac{9 x e^{4 x^{3}} \log{\left(x^{3} \right)} \cos{\left(3 x^{3} \right)}}{8} + \frac{e^{4 x^{3}} \log{\left(x^{3} \right)} \sin{\left(3 x^{3} \right)}}{8 x^{2}} - \frac{3 e^{4 x^{3}} \sin{\left(3 x^{3} \right)}}{8 x^{2}}
7 x^{4} \log{\left(8 x^{3} \right)} \sin{\left(6 x^{2} \right)},84 x^{5} \log{\left(8 x^{3} \right)} \cos{\left(6 x^{2} \right)} + 28 x^{3} \log{\left(8 x^{3} \right)} \sin{\left(6 x^{2} \right)} + 21 x^{3} \sin{\left(6 x^{2} \right)}
- 8 x \cos{\left(8 x^{3} \right)},192 x^{3} \sin{\left(8 x^{3} \right)} - 8 \cos{\left(8 x^{3} \right)}
10 x^{2} e^{- 8 x^{3}},- 240 x^{4} e^{- 8 x^{3}} + 20 x e^{- 8 x^{3}}
\frac{e^{- 3 x} \log{\left(- 6 x^{2} \right)}}{6 x^{4}},- \frac{e^{- 3 x} \log{\left(- 6 x^{2} \right)}}{2 x^{4}} - \frac{2 e^{- 3 x} \log{\left(- 6 x^{2} \right)}}{3 x^{5}} + \frac{e^{- 3 x}}{3 x^{5}}
x^{6} \log{\left(4 x^{2} \right)},6 x^{5} \log{\left(4 x^{2} \right)} + 2 x^{5}
- \frac{4 e^{- 8 x^{3}} \log{\left(2 x \right)}}{x},96 x e^{- 8 x^{3}} \log{\left(2 x \right)} + \frac{4 e^{- 8 x^{3}} \log{\left(2 x \right)}}{x^{2}} - \frac{4 e^{- 8 x^{3}}}{x^{2}}
- \frac{\log{\left(- 7 x^{3} \right)}}{6 x^{2}},\frac{\log{\left(- 7 x^{3} \right)}}{3 x^{3}} - \frac{1}{2 x^{3}}
\frac{e^{2 x^{3}}}{350 x^{6}},\frac{3 e^{2 x^{3}}}{175 x^{4}} - \frac{3 e^{2 x^{3}}}{175 x^{7}}
- 2 \sin{\left(5 x^{2} \right)},- 20 x \cos{\left(5 x^{2} \right)}
- \frac{2 x}{9},- \frac{2}{9}
\frac{3 x^{2} \log{\left(- 9 x \right)}}{\cos{\left(8 x \right)}},\frac{24 x^{2} \log{\left(- 9 x \right)} \sin{\left(8 x \right)}}{\cos^{2}{\left(8 x \right)}} + \frac{6 x \log{\left(- 9 x \right)}}{\cos{\left(8 x \right)}} + \frac{3 x}{\cos{\left(8 x \right)}}
- 648 x^{5},- 3240 x^{4}
- 3 x \cos{\left(x^{2} \right)},6 x^{2} \sin{\left(x^{2} \right)} - 3 \cos{\left(x^{2} \right)}
- \frac{21 x e^{- 10 x^{2}}}{4},105 x^{2} e^{- 10 x^{2}} - \frac{21 e^{- 10 x^{2}}}{4}
0,0
e^{9 x} \log{\left(x^{2} \right)},9 e^{9 x} \log{\left(x^{2} \right)} + \frac{2 e^{9 x}}{x}
- 9 x^{2} e^{4 x} \log{\left(2 x^{3} \right)},- 36 x^{2} e^{4 x} \log{\left(2 x^{3} \right)} - 18 x e^{4 x} \log{\left(2 x^{3} \right)} - 27 x e^{4 x}
\frac{5}{6 \log{\left(3 x \right)}},- \frac{5}{6 x \log{\left(3 x \right)}^{2}}
- \frac{140 x^{2}}{3},- \frac{280 x}{3}
0,0
\frac{5 \cos{\left(7 x^{2} \right)}}{2 x},- 35 \sin{\left(7 x^{2} \right)} - \frac{5 \cos{\left(7 x^{2} \right)}}{2 x^{2}}
- \frac{e^{4 x^{2}} \log{\left(- x \right)}}{2 x^{2}},- \frac{4 e^{4 x^{2}} \log{\left(- x \right)}}{x} + \frac{e^{4 x^{2}} \log{\left(- x \right)}}{x^{3}} - \frac{e^{4 x^{2}}}{2 x^{3}}
0,0
- \frac{x \log{\left(- 7 x \right)} \log{\left(4 x^{3} \right)}}{3},- \frac{\log{\left(- 7 x \right)} \log{\left(4 x^{3} \right)}}{3} - \log{\left(- 7 x \right)} - \frac{\log{\left(4 x^{3} \right)}}{3}
\frac{e^{- 6 x^{3}} \cos{\left(3 x^{2} \right)}}{x^{2}},- 18 e^{- 6 x^{3}} \cos{\left(3 x^{2} \right)} - \frac{6 e^{- 6 x^{3}} \sin{\left(3 x^{2} \right)}}{x} - \frac{2 e^{- 6 x^{3}} \cos{\left(3 x^{2} \right)}}{x^{3}}
\frac{4 x^{3}}{\sin{\left(x^{3} \right)}},- \frac{12 x^{5} \cos{\left(x^{3} \right)}}{\sin^{2}{\left(x^{3} \right)}} + \frac{12 x^{2}}{\sin{\left(x^{3} \right)}}
- \frac{25 x^{4} e^{2 x^{3}}}{\log{\left(6 x^{3} \right)}},- \frac{150 x^{6} e^{2 x^{3}}}{\log{\left(6 x^{3} \right)}} - \frac{100 x^{3} e^{2 x^{3}}}{\log{\left(6 x^{3} \right)}} + \frac{75 x^{3} e^{2 x^{3}}}{\log{\left(6 x^{3} \right)}^{2}}
- 2 x^{2} e^{- 10 x^{2}},40 x^{3} e^{- 10 x^{2}} - 4 x e^{- 10 x^{2}}
1,0
\frac{3}{49},0
\frac{5 x \log{\left(5 x \right)}}{4 \sin{\left(2 x^{2} \right)}},- \frac{5 x^{2} \log{\left(5 x \right)} \cos{\left(2 x^{2} \right)}}{\sin^{2}{\left(2 x^{2} \right)}} + \frac{5 \log{\left(5 x \right)}}{4 \sin{\left(2 x^{2} \right)}} + \frac{5}{4 \sin{\left(2 x^{2} \right)}}
3 x \cos{\left(4 x \right)},- 12 x \sin{\left(4 x \right)} + 3 \cos{\left(4 x \right)}
7 x e^{- 4 x} \log{\left(9 x \right)},- 28 x e^{- 4 x} \log{\left(9 x \right)} + 7 e^{- 4 x} \log{\left(9 x \right)} + 7 e^{- 4 x}
\frac{2 e^{x^{3}}}{9},\frac{2 x^{2} e^{x^{3}}}{3}
20 x^{2},40 x
- \frac{7 \sin{\left(3 x^{2} \right)}}{9 x \sin{\left(9 x \right)}},- \frac{14 \cos{\left(3 x^{2} \right)}}{3 \sin{\left(9 x \right)}} + \frac{7 \sin{\left(3 x^{2} \right)} \cos{\left(9 x \right)}}{x \sin^{2}{\left(9 x \right)}} + \frac{7 \sin{\left(3 x^{2} \right)}}{9 x^{2} \sin{\left(9 x \right)}}
8 x^{3} \log{\left(- 8 x^{2} \right)},24 x^{2} \log{\left(- 8 x^{2} \right)} + 16 x^{2}
e^{5 x^{3}} \cos{\left(4 x^{2} \right)},15 x^{2} e^{5 x^{3}} \cos{\left(4 x^{2} \right)} - 8 x e^{5 x^{3}} \sin{\left(4 x^{2} \right)}
- \frac{\log{\left(- 8 x \right)}}{12 x^{2}},\frac{\log{\left(- 8 x \right)}}{6 x^{3}} - \frac{1}{12 x^{3}}
\frac{\sin{\left(3 x^{2} \right)}}{9 x^{3}},\frac{2 \cos{\left(3 x^{2} \right)}}{3 x^{2}} - \frac{\sin{\left(3 x^{2} \right)}}{3 x^{4}}
- 8 x^{2} e^{- 5 x^{3}} \log{\left(7 x \right)},120 x^{4} e^{- 5 x^{3}} \log{\left(7 x \right)} - 16 x e^{- 5 x^{3}} \log{\left(7 x \right)} - 8 x e^{- 5 x^{3}}
\frac{2 x^{3} \cos{\left(2 x^{3} \right)}}{\cos{\left(3 x \right)}},- \frac{12 x^{5} \sin{\left(2 x^{3} \right)}}{\cos{\left(3 x \right)}} + \frac{6 x^{3} \sin{\left(3 x \right)} \cos{\left(2 x^{3} \right)}}{\cos^{2}{\left(3 x \right)}} + \frac{6 x^{2} \cos{\left(2 x^{3} \right)}}{\cos{\left(3 x \right)}}
\frac{\tilde{\infty} e^{4 x^{2}} \log{\left(10 x^{3} \right)}}{x},\tilde{\infty} e^{4 x^{2}} \log{\left(10 x^{3} \right)} + \frac{\tilde{\infty} e^{4 x^{2}} \log{\left(10 x^{3} \right)}}{x^{2}} + \frac{\tilde{\infty} e^{4 x^{2}}}{x^{2}}
- 24 x^{6} \cos{\left(8 x^{2} \right)},384 x^{7} \sin{\left(8 x^{2} \right)} - 144 x^{5} \cos{\left(8 x^{2} \right)}
\frac{8 e^{- x^{3}}}{5 x},- \frac{24 x e^{- x^{3}}}{5} - \frac{8 e^{- x^{3}}}{5 x^{2}}
\frac{24 x^{4} e^{6 x^{3}}}{\sin{\left(2 x^{2} \right)}},\frac{432 x^{6} e^{6 x^{3}}}{\sin{\left(2 x^{2} \right)}} - \frac{96 x^{5} e^{6 x^{3}} \cos{\left(2 x^{2} \right)}}{\sin^{2}{\left(2 x^{2} \right)}} + \frac{96 x^{3} e^{6 x^{3}}}{\sin{\left(2 x^{2} \right)}}
- \frac{e^{- 5 x^{2}}}{30 x^{4} \log{\left(5 x^{3} \right)}},\frac{e^{- 5 x^{2}}}{3 x^{3} \log{\left(5 x^{3} \right)}} + \frac{2 e^{- 5 x^{2}}}{15 x^{5} \log{\left(5 x^{3} \right)}} + \frac{e^{- 5 x^{2}}}{10 x^{5} \log{\left(5 x^{3} \right)}^{2}}
\frac{\cos{\left(x \right)}}{\cos{\left(2 x^{3} \right)}},\frac{6 x^{2} \sin{\left(2 x^{3} \right)} \cos{\left(x \right)}}{\cos^{2}{\left(2 x^{3} \right)}} - \frac{\sin{\left(x \right)}}{\cos{\left(2 x^{3} \right)}}
\frac{\cos{\left(4 x^{3} \right)}}{10 x \log{\left(- 4 x^{2} \right)}},- \frac{6 x \sin{\left(4 x^{3} \right)}}{5 \log{\left(- 4 x^{2} \right)}} - \frac{\cos{\left(4 x^{3} \right)}}{10 x^{2} \log{\left(- 4 x^{2} \right)}} - \frac{\cos{\left(4 x^{3} \right)}}{5 x^{2} \log{\left(- 4 x^{2} \right)}^{2}}
- \frac{\sin{\left(7 x^{3} \right)}}{3 x^{3} \cos{\left(2 x^{3} \right)} \cos{\left(4 x^{3} \right)}},- \frac{2 \sin{\left(2 x^{3} \right)} \sin{\left(7 x^{3} \right)}}{x \cos^{2}{\left(2 x^{3} \right)} \cos{\left(4 x^{3} \right)}} - \frac{4 \sin{\left(4 x^{3} \right)} \sin{\left(7 x^{3} \right)}}{x \cos{\left(2 x^{3} \right)} \cos^{2}{\left(4 x^{3} \right)}} - \frac{7 \cos{\left(7 x^{3} \right)}}{x \cos{\left(2 x^{3} \right)} \cos{\left(4 x^{3} \right)}} + \frac{\sin{\left(7 x^{3} \right)}}{x^{4} \cos{\left(2 x^{3} \right)} \cos{\left(4 x^{3} \right)}}
\frac{3 \sin{\left(2 x \right)} \cos{\left(9 x \right)}}{4},- \frac{27 \sin{\left(2 x \right)} \sin{\left(9 x \right)}}{4} + \frac{3 \cos{\left(2 x \right)} \cos{\left(9 x \right)}}{2}
\frac{\log{\left(10 x \right)} \log{\left(- 7 x^{2} \right)}}{\log{\left(- 4 x \right)}},\frac{2 \log{\left(10 x \right)}}{x \log{\left(- 4 x \right)}} + \frac{\log{\left(- 7 x^{2} \right)}}{x \log{\left(- 4 x \right)}} - \frac{\log{\left(10 x \right)} \log{\left(- 7 x^{2} \right)}}{x \log{\left(- 4 x \right)}^{2}}
- 27 x^{4},- 108 x^{3}
\frac{e^{2 x^{3}} \cos{\left(10 x^{2} \right)}}{2},3 x^{2} e^{2 x^{3}} \cos{\left(10 x^{2} \right)} - 10 x e^{2 x^{3}} \sin{\left(10 x^{2} \right)}
56 x^{4} \cos{\left(5 x^{2} \right)} \cos{\left(10 x^{3} \right)},- 1680 x^{6} \sin{\left(10 x^{3} \right)} \cos{\left(5 x^{2} \right)} - 560 x^{5} \sin{\left(5 x^{2} \right)} \cos{\left(10 x^{3} \right)} + 224 x^{3} \cos{\left(5 x^{2} \right)} \cos{\left(10 x^{3} \right)}
6 x^{2} e^{9 x} e^{6 x^{2}},72 x^{3} e^{9 x} e^{6 x^{2}} + 54 x^{2} e^{9 x} e^{6 x^{2}} + 12 x e^{9 x} e^{6 x^{2}}
- \frac{e^{- 5 x}}{3 x},\frac{5 e^{- 5 x}}{3 x} + \frac{e^{- 5 x}}{3 x^{2}}
- 24 x,-24
\frac{2 x}{\log{\left(x^{3} \right)}},\frac{2}{\log{\left(x^{3} \right)}} - \frac{6}{\log{\left(x^{3} \right)}^{2}}
- 4 x e^{x^{2}},- 8 x^{2} e^{x^{2}} - 4 e^{x^{2}}
\frac{1}{9 x^{3} \cos{\left(2 x \right)}},\frac{2 \sin{\left(2 x \right)}}{9 x^{3} \cos^{2}{\left(2 x \right)}} - \frac{1}{3 x^{4} \cos{\left(2 x \right)}}
- 2025 x^{10},- 20250 x^{9}
0,0
0,0
- \frac{8 x^{3}}{\cos{\left(x^{2} \right)}},- \frac{16 x^{4} \sin{\left(x^{2} \right)}}{\cos^{2}{\left(x^{2} \right)}} - \frac{24 x^{2}}{\cos{\left(x^{2} \right)}}
- 3 x^{2},- 6 x
- \frac{9 x^{3} \sin{\left(2 x^{2} \right)}}{\log{\left(6 x^{2} \right)}},- \frac{36 x^{4} \cos{\left(2 x^{2} \right)}}{\log{\left(6 x^{2} \right)}} - \frac{27 x^{2} \sin{\left(2 x^{2} \right)}}{\log{\left(6 x^{2} \right)}} + \frac{18 x^{2} \sin{\left(2 x^{2} \right)}}{\log{\left(6 x^{2} \right)}^{2}}
0,0
\frac{3}{16 x},- \frac{3}{16 x^{2}}
x^{3} e^{10 x},10 x^{3} e^{10 x} + 3 x^{2} e^{10 x}
- e^{- 7 x^{2}} \sin{\left(4 x^{2} \right)} \cos{\left(8 x \right)} \cos{\left(10 x^{3} \right)},30 x^{2} e^{- 7 x^{2}} \sin{\left(4 x^{2} \right)} \sin{\left(10 x^{3} \right)} \cos{\left(8 x \right)} + 14 x e^{- 7 x^{2}} \sin{\left(4 x^{2} \right)} \cos{\left(8 x \right)} \cos{\left(10 x^{3} \right)} - 8 x e^{- 7 x^{2}} \cos{\left(8 x \right)} \cos{\left(4 x^{2} \right)} \cos{\left(10 x^{3} \right)} + 8 e^{- 7 x^{2}} \sin{\left(8 x \right)} \sin{\left(4 x^{2} \right)} \cos{\left(10 x^{3} \right)}
- x e^{- 2 x},2 x e^{- 2 x} - e^{- 2 x}
4 x \log{\left(- 10 x^{2} \right)},4 \log{\left(- 10 x^{2} \right)} + 8
\sin{\left(2 x^{3} \right)} \cos{\left(4 x^{2} \right)} \cos{\left(5 x^{3} \right)},- 15 x^{2} \sin{\left(2 x^{3} \right)} \sin{\left(5 x^{3} \right)} \cos{\left(4 x^{2} \right)} + 6 x^{2} \cos{\left(4 x^{2} \right)} \cos{\left(2 x^{3} \right)} \cos{\left(5 x^{3} \right)} - 8 x \sin{\left(4 x^{2} \right)} \sin{\left(2 x^{3} \right)} \cos{\left(5 x^{3} \right)}
\frac{3 \sin{\left(3 x \right)}}{2},\frac{9 \cos{\left(3 x \right)}}{2}
- \frac{10 x e^{3 x^{2}}}{\log{\left(x^{2} \right)}},- \frac{60 x^{2} e^{3 x^{2}}}{\log{\left(x^{2} \right)}} - \frac{10 e^{3 x^{2}}}{\log{\left(x^{2} \right)}} + \frac{20 e^{3 x^{2}}}{\log{\left(x^{2} \right)}^{2}}
- \frac{8 x^{2}}{5 \cos{\left(3 x \right)} \cos{\left(10 x^{2} \right)}},- \frac{32 x^{3} \sin{\left(10 x^{2} \right)}}{\cos{\left(3 x \right)} \cos^{2}{\left(10 x^{2} \right)}} - \frac{24 x^{2} \sin{\left(3 x \right)}}{5 \cos^{2}{\left(3 x \right)} \cos{\left(10 x^{2} \right)}} - \frac{16 x}{5 \cos{\left(3 x \right)} \cos{\left(10 x^{2} \right)}}
x^{3} e^{- 9 x^{3}},- 27 x^{5} e^{- 9 x^{3}} + 3 x^{2} e^{- 9 x^{3}}
\frac{5 x \cos{\left(5 x \right)}}{\sin{\left(x \right)}},- \frac{25 x \sin{\left(5 x \right)}}{\sin{\left(x \right)}} - \frac{5 x \cos{\left(x \right)} \cos{\left(5 x \right)}}{\sin^{2}{\left(x \right)}} + \frac{5 \cos{\left(5 x \right)}}{\sin{\left(x \right)}}
\sin{\left(9 x^{2} \right)},18 x \cos{\left(9 x^{2} \right)}
- \frac{\sin{\left(6 x \right)}}{4 x^{2} \log{\left(3 x \right)} \sin{\left(10 x^{2} \right)}},\frac{5 \sin{\left(6 x \right)} \cos{\left(10 x^{2} \right)}}{x \log{\left(3 x \right)} \sin^{2}{\left(10 x^{2} \right)}} - \frac{3 \cos{\left(6 x \right)}}{2 x^{2} \log{\left(3 x \right)} \sin{\left(10 x^{2} \right)}} + \frac{\sin{\left(6 x \right)}}{2 x^{3} \log{\left(3 x \right)} \sin{\left(10 x^{2} \right)}} + \frac{\sin{\left(6 x \right)}}{4 x^{3} \log{\left(3 x \right)}^{2} \sin{\left(10 x^{2} \right)}}
e^{5 x^{2}} \log{\left(7 x^{2} \right)} \cos{\left(5 x^{3} \right)},- 15 x^{2} e^{5 x^{2}} \log{\left(7 x^{2} \right)} \sin{\left(5 x^{3} \right)} + 10 x e^{5 x^{2}} \log{\left(7 x^{2} \right)} \cos{\left(5 x^{3} \right)} + \frac{2 e^{5 x^{2}} \cos{\left(5 x^{3} \right)}}{x}
- \sin{\left(3 x^{3} \right)} \cos{\left(2 x^{2} \right)},- 9 x^{2} \cos{\left(2 x^{2} \right)} \cos{\left(3 x^{3} \right)} + 4 x \sin{\left(2 x^{2} \right)} \sin{\left(3 x^{3} \right)}
- 5 x^{3},- 15 x^{2}
- \sin{\left(5 x \right)} \sin{\left(x^{3} \right)} \cos{\left(2 x^{3} \right)},6 x^{2} \sin{\left(5 x \right)} \sin{\left(x^{3} \right)} \sin{\left(2 x^{3} \right)} - 3 x^{2} \sin{\left(5 x \right)} \cos{\left(x^{3} \right)} \cos{\left(2 x^{3} \right)} - 5 \sin{\left(x^{3} \right)} \cos{\left(5 x \right)} \cos{\left(2 x^{3} \right)}
0,0
- 2 x^{3},- 6 x^{2}
e^{13 x^{2}} \cos{\left(3 x^{3} \right)},- 9 x^{2} e^{13 x^{2}} \sin{\left(3 x^{3} \right)} + 26 x e^{13 x^{2}} \cos{\left(3 x^{3} \right)}
\frac{42 x^{3}}{\cos{\left(4 x^{2} \right)}},\frac{336 x^{4} \sin{\left(4 x^{2} \right)}}{\cos^{2}{\left(4 x^{2} \right)}} + \frac{126 x^{2}}{\cos{\left(4 x^{2} \right)}}
\frac{e^{- 3 x}}{\sin{\left(6 x^{3} \right)}},- \frac{18 x^{2} e^{- 3 x} \cos{\left(6 x^{3} \right)}}{\sin^{2}{\left(6 x^{3} \right)}} - \frac{3 e^{- 3 x}}{\sin{\left(6 x^{3} \right)}}
